10000 10000
9867 8846 -0.889700
9867 2373 0.719100
9864 2614 -0.680300
9863 6009 -0.052500
9863 3549 -1.117800
9862 9359 -0.249100
9862 4520 -0.731200
9861 8812 0.862100
9859 7811 -1.145300
9859 5853 -0.237700
9858 1892 -2.539400
9857 1635 -0.417000
9856 4933 -2.297500
9855 8786 2.905500
9855 3804 0.561200
9854 8235 0.527000
9854 5445 -0.184300
9854 814 0.132300
9853 1017 -0.528100
9852 7213 0.454500
9852 3984 0.486800
9852 1080 1.914500
9851 8815 0.428600
9851 5539 -1.628900
9849 5457 -0.449300
9847 4323 0.278500
9847 3011 -1.097400
9846 1186 -2.010600
9841 6043 -0.500300
9841 4648 -0.553200
9841 3888 1.078900
9840 8506 0.486900
9838 1865 -0.593200
9835 9415 1.374900
9834 8392 0.013100
9834 6426 1.384700
9833 8296 -0.610700
9831 5517 -1.158000
9831 5053 -0.494100
9831 900 -0.473600
9829 8916 2.076100
9829 3502 -0.089200
9826 6775 1.227900
9825 1504 -1.647000
9824 1143 0.632300
9823 9579 -1.569600
9820 952 -0.672100
9819 6199 -0.019500
9817 6765 -0.332100
9816 3815 -0.583800
9813 8036 0.152900
9813 2474 -0.016000
9811 9426 2.560600
9811 1620 -0.309200
9811 122 0.597000
9809 1615 0.170200
9808 7793 0.441600
9807 6649 0.360500
9807 4553 -1.356500
9806 8854 -1.604300
9806 4679 -0.918900
9805 6070 -0.381800
9805 4597 0.250300
9804 4372 -0.560300
9804 3605 -0.848300
9804 2282 0.350000
9803 8896 0.054500
9803 2164 1.807400
9802 3850 1.621900
9801 9666 1.112300
9801 9185 0.161500
9801 8243 0.952200
9801 6613 -1.331600
9800 4960 -0.612200
9799 6850 -2.260500
9797 6453 0.392500
9796 1314 0.929200
9796 935 1.106900
9795 1975 -0.029700
9795 1274 -0.708100
9794 8307 0.912800
9794 3423 0.268200
9793 212 2.194300
9788 2633 -0.452100
9787 2919 0.394200
9786 2614 0.208100
9786 2089 -0.360300
9784 3841 0.807000
9782 528 -0.552100
9782 394 0.763800
9781 3564 -1.220500
9778 7902 -0.122800
9777 6548 2.004800
9777 1309 0.624400
9773 6492 1.894400
9772 8004 -0.356600
9772 2450 -0.163000
9771 4591 -0.893700
9770 9136 -1.023500
9769 9740 0.419200
9768 7527 0.277300
9767 3384 -0.850600
9767 209 -1.224200
9766 9138 0.781900
9766 6006 1.394300
9766 5300 0.776600
9766 4262 0.801100
9766 3539 0.508400
9765 1843 0.063000
9764 2493 0.295300
9762 7468 -0.767400
9762 5456 2.197900
9762 1744 -0.334100
9759 5328 0.234300
9759 3605 -0.873500
9757 1334 -0.311600
9756 1369 0.779600
9754 2962 -0.788700
9753 9042 1.683200
9752 6267 0.695200
9747 757 -0.181200
9746 4067 -0.588900
9746 1220 -1.745100
9745 7932 1.881800
9745 6927 1.558700
9745 1821 0.797700
9740 6728 -0.978600
9739 2675 -0.583800
9738 8263 0.571800
9738 6886 0.306700
9738 5330 0.751300
9737 7025 0.632800
9737 5002 0.954500
9737 2894 -0.328800
9736 2256 0.636800
9735 1883 -0.961800
9734 2925 -0.445300
9734 78 0.420500
9733 1856 -1.874700
9733 1517 -0.083000
9733 171 -0.222900
9731 2971 -1.539700
9730 3 1.595300
9729 6757 -0.128200
9728 5396 -0.829600
9727 7859 -0.383300
9726 9099 1.060600
9724 9459 1.304600
9724 164 -2.571600
9723 7694 -0.578100
9722 9946 -0.653100
9722 3042 -1.666600
9720 6261 0.395200
9719 7798 -0.649900
9719 3451 -0.566200
9719 914 -0.187500
9718 9379 -0.163900
9718 6085 0.676000
9715 3093 -0.038300
9714 9798 0.089100
9713 9505 0.115000
9712 4600 -0.478900
9712 2736 0.284200
9711 9007 -1.181500
9711 4444 -0.225600
9707 7939 0.062000
9704 5914 0.690500
9704 4122 0.048900
9704 1630 0.332400
9701 8882 0.254600
9700 3752 -0.874200
9700 212 -0.773900
9699 550 0.133800
9698 7517 -1.784500
9698 3509 -0.673300
9696 5479 0.297800
9696 787 0.742100
9693 4258 -0.307800
9690 7301 0.612600
9689 9991 -2.029700
9689 8156 -0.480100
9687 9584 0.603600
9687 7300 2.581700
9684 7302 0.602000
9683 3856 -0.303200
9682 6557 -0.707100
9678 1851 0.767200
9677 8865 -0.069600
9676 7218 -1.235700
9675 3921 -0.793900
9674 928 1.973400
9673 4112 0.156000
9673 1416 -0.622600
9673 813 -1.834800
9672 8870 -0.327400
9672 7825 -1.829700
9672 6849 -0.583900
9670 9484 -0.235800
9670 6364 0.022300
9670 4765 -0.411200
9670 74 0.250200
9669 6207 -0.215200
9669 2208 -0.674500
9668 6620 -0.981700
9667 5124 0.109800
9665 7818 1.711000
9665 5461 -2.284200
9663 5026 1.616000
9663 4966 0.990000
9662 8871 0.283800
9661 341 0.328500
9659 3277 0.259400
9658 1486 -1.339200
9657 8263 0.678600
9656 3810 1.438100
9654 8097 1.965300
9653 3046 0.502600
9653 2054 1.045400
9653 1578 1.394700
9652 5597 -0.453800
9652 3386 0.199200
9652 862 0.751000
9651 9529 -0.677100
9651 2552 1.019000
9650 3547 -0.459200
9647 8314 -0.147300
9647 3640 0.356800
9647 2200 -0.031800
9646 204 0.589400
9643 8425 1.557700
9643 2475 0.108200
9642 9322 -1.790800
9639 7702 -0.994000
9638 1375 -0.153400
9638 1081 -1.017500
9638 738 0.357100
9637 5508 -0.498300
9636 4264 -0.737300
9636 1916 0.590200
9635 8491 -2.117900
9635 887 -0.165100
9633 9061 0.075100
9632 9120 0.170400
9631 4568 1.438900
9630 6737 1.017600
9630 937 0.587000
9629 8351 0.289800
9627 4257 1.161500
9627 535 0.517200
9626 5682 0.716400
9626 368 0.794200
9625 772 -1.987400
9624 955 -0.857600
9623 3269 -1.573600
9622 8334 -0.692800
9622 4813 -2.797600
9620 9655 0.887400
9619 8991 -0.636700
9619 6364 -0.951900
9619 4442 0.354800
9618 8672 0.000800
9617 4034 0.032000
9617 2165 -0.512400
9615 8314 0.116800
9615 5186 -0.177700
9612 4197 1.144500
9611 9476 -2.340600
9609 5352 -0.558400
9608 8285 -0.906500
9608 8211 -0.588600
9608 4741 -0.575500
9607 3291 -1.690000
9606 830 -0.174500
9604 4909 -0.178000
9604 1728 -0.523600
9603 4020 0.403200
9602 49 -0.653600
9601 4054 -1.255100
9600 4559 -0.930700
9600 3364 1.859900
9599 8476 -0.369600
9598 7083 -0.580800
9598 6658 -2.244600
9598 748 -0.523200
9597 3852 -1.598400
9595 3127 1.004300
9595 945 -0.446500
9594 5825 1.550200
9593 9246 1.082700
9593 5750 -0.527900
9593 1230 1.202500
9592 1759 -0.823200
9591 4505 -0.203000
9591 3654 -0.454100
9591 1505 -0.510500
9588 4734 0.022400
9587 8914 0.317400
9586 4845 -0.778900
9585 4959 1.999100
9581 9967 1.277600
9581 7036 -1.931900
9581 5177 0.772100
9578 9689 -0.222400
9578 7930 -0.701400
9578 7768 -0.766000
9578 1755 -1.034700
9576 1028 0.845800
9574 6574 2.422000
9573 5560 0.667100
9572 4994 -0.792800
9572 4621 0.785500
9571 6925 -1.707800
9570 3762 0.087900
9569 47 0.546800
9567 9009 1.067300
9564 4 -3.798000
9563 9709 1.106600
9562 9395 -2.559800
9561 6101 -0.953500
9560 3471 -1.228000
9560 3066 1.390800
9560 2352 -1.604100
9559 6214 0.648300
9559 226 -0.177900
9558 5188 0.363500
9558 4996 0.236000
9557 3184 1.083200
9557 2499 -0.120500
9557 2212 -1.274700
9557 57 0.268300
9556 5091 -0.421700
9556 4828 0.025300
9555 9975 0.957700
9555 1555 -0.777900
9553 3172 0.913600
9553 2310 -0.465200
9553 911 0.069300
9551 6156 0.772100
9549 6920 0.142300
9547 6209 -0.432400
9547 6184 -1.200700
9547 3886 -0.208000
9542 3940 1.774700
9542 1376 -0.723800
9540 3625 0.962600
9539 1171 -0.643800
9538 2230 0.149300
9533 4459 0.228200
9532 1416 -0.751700
9532 377 -1.138300
9528 1704 -2.918300
9528 1006 -0.491100
9527 9501 -0.023200
9527 3158 0.402700
9526 7299 0.033200
9524 3191 -0.872100
9523 9352 -0.671800
9523 1234 -1.405200
9521 7356 0.874400
9520 7155 1.059000
9520 3543 -1.951300
9520 1126 0.146200
9519 5362 0.653100
9519 5348 0.084400
9518 8911 -1.925400
9518 8012 -1.282400
9518 7433 1.355200
9517 9482 2.066600
9517 7838 -1.140000
9516 1734 -1.022100
9515 4610 -0.969700
9514 5872 1.412400
9514 1788 1.305000
9512 6101 -0.987100
9512 2978 -0.407900
9512 1412 -0.200300
9510 6465 0.475400
9510 448 0.570400
9509 3338 0.377600
9507 2497 0.330300
9505 4018 0.492700
9504 7914 0.465600
9504 7323 -0.279100
9504 6284 1.185100
9504 6225 -2.377300
9503 8876 -1.071300
9503 2151 -0.859800
9501 3543 1.149800
9500 5185 -2.170600
9494 2744 1.515500
9493 8701 1.489800
9493 4716 -1.257600
9492 7839 1.812300
9491 8171 0.322300
9490 6618 0.891900
9487 615 -0.657100
9486 1765 -0.644100
9484 9000 -0.116400
9484 5834 1.031300
9483 6696 -0.951200
9482 7169 1.070800
9482 1906 -1.005500
9478 6306 0.064200
9477 7340 -0.247200
9476 8250 0.912300
9475 1487 -0.677300
9474 6402 2.575600
9474 5506 1.070700
9473 1307 -1.348900
9471 1130 0.083600
9469 2563 -1.055800
9468 3078 -0.105800
9467 2775 1.074400
9466 7484 0.473200
9465 1096 2.403500
9461 6737 0.938800
9460 7948 0.761900
9460 4301 0.898600
9460 546 1.345900
9459 70 0.064700
9458 5051 0.587800
9457 9951 0.495700
9457 7107 0.321700
9457 3156 0.982800
9456 7115 1.697500
9453 7326 -1.165300
9453 31 2.328300
9452 1601 -0.123100
9450 3267 0.196200
9449 138 -0.302900
9448 2598 -0.516600
9448 1507 0.112600
9447 7709 0.116200
9447 810 0.510000
9444 7606 -0.083000
9444 6186 0.604000
9444 3967 0.603400
9443 5485 -1.239600
9443 2150 0.087500
9442 4323 1.707300
9442 2199 0.471600
9441 9268 -1.086800
9440 6843 -0.433800
9437 8662 -1.542000
9437 1685 2.880500
9436 7625 -1.360300
9436 1822 -0.661700
9435 1932 -0.574600
9432 1028 -0.391500
9431 26 -1.152200
9427 4278 -1.273500
9427 408 0.584900
9426 9278 0.041400
9425 1697 -0.624900
9423 9147 0.695300
9423 5547 -1.760300
9422 297 -0.467400
9421 592 0.591000
9419 736 -0.588100
9418 7220 0.315000
9418 1071 -2.449700
9417 2502 0.268600
9417 2180 0.650900
9417 121 0.609100
9416 9529 -0.641900
9415 9707 -1.725000
9415 5284 -0.367200
9414 2463 -1.773100
9413 8852 -1.597300
9413 3047 1.221400
9412 123 -0.919200
9409 1809 0.960400
9407 3351 -1.109700
9405 1702 -0.466300
9400 7377 0.698400
9398 6644 -0.962000
9398 4034 0.127200
9397 9450 -1.130700
9396 5276 -0.277300
9396 311 -1.167700
9395 8159 0.399600
9394 7100 -0.251600
9394 5685 -0.746000
9394 171 -0.100900
9393 6078 0.192800
9393 511 -1.363300
9391 3358 -0.038200
9390 3078 -0.790500
9390 1902 -0.163600
9388 6054 -0.433300
9388 1109 -0.150800
9388 458 0.417700
9385 642 0.999100
9383 8982 -1.241900
9380 2858 0.817200
9377 3194 -0.857900
9376 9776 0.584900
9376 7591 0.370600
9376 3694 0.193000
9375 5004 0.669600
9373 6306 1.713400
9372 8901 0.309400
9370 5101 1.230700
9367 5980 1.290400
9365 9019 0.695500
9365 5746 0.211700
9362 7651 -2.566500
9358 9948 0.367500
9355 5386 -0.255500
9354 5056 0.859100
9353 6046 -0.559700
9353 572 1.030200
9352 1594 -2.121500
9350 7828 -1.980900
9350 5222 -2.639300
9350 143 0.183700
9348 9782 0.698000
9348 4764 -0.548200
9348 3066 1.249900
9347 9870 -0.132300
9347 8271 1.542700
9345 3513 -0.926000
9344 7620 -1.172100
9344 6128 -0.559100
9344 3063 0.097400
9344 2724 0.844000
9343 7594 0.920600
9343 6426 0.892100
9342 7504 0.409200
9342 1139 -1.257900
9340 7839 -1.552700
9339 1605 -1.033500
9338 8875 0.055600
9338 5858 0.724500
9338 3177 0.645500
9338 2936 0.482100
9334 7196 0.913000
9334 6112 0.768300
9334 3877 0.723200
9333 9716 1.211000
9333 364 -0.341900
9330 9995 0.729300
9329 5947 -0.693100
9329 5306 1.810600
9328 1811 0.855800
9328 528 1.198600
9327 1591 -0.057400
9325 1783 0.257400
9321 8442 1.732500
9320 4060 -0.744800
9319 9904 -1.239400
9318 7320 0.737800
9317 4469 -0.040400
9314 9230 -0.248500
9314 7411 -0.425600
9311 4229 -0.140500
9310 7435 1.091300
9309 2481 0.881700
9307 1025 -0.870100
9306 6133 0.243900
9305 4858 -0.305400
9304 3445 -0.975800
9304 2957 -1.101800
9303 976 0.687400
9301 8360 -2.182800
9300 8376 1.265500
9300 1316 0.723300
9298 9431 -0.430200
9296 2576 -0.129000
9294 4467 -0.641900
9292 7300 -2.131300
9292 2777 -1.187200
9292 604 0.056600
9291 7150 -0.679400
9291 2949 -1.178000
9290 9002 0.450000
9290 4178 -1.939500
9290 3827 -0.750500
9289 9946 -0.400900
9289 2631 0.261000
9286 5264 0.446800
9285 9023 -0.027400
9285 3007 -1.346300
9284 3623 -1.056700
9283 8779 -0.451600
9283 7978 -0.588700
9282 4566 -1.117900
9280 8008 1.396900
9280 5919 -1.332700
9279 6876 0.739100
9279 5901 1.116800
9278 4173 -1.912700
9277 4676 1.242100
9277 1037 -0.426600
9277 560 0.206000
9276 5572 -0.458800
9276 4507 -0.043200
9276 1263 -2.222400
9273 6869 -0.480100
9273 6501 -0.220500
9273 3935 2.014200
9270 6881 -0.158000
9269 6984 1.244200
9268 2119 -1.609900
9267 1741 1.640800
9266 7930 -1.581500
9264 1904 1.573800
9264 1304 -0.883800
9263 9440 -0.240300
9260 9379 -0.781200
9257 3035 -0.631500
9254 5042 1.759400
9254 4871 1.111200
9250 8183 0.994600
9248 5551 -1.555700
9247 8044 0.673600
9246 5206 0.506700
9246 1329 0.884800
9246 3 -1.028200
9244 2744 -2.194100
9244 1957 1.531500
9244 1764 1.201800
9241 4782 -0.233000
9239 2400 -1.618200
9237 159 0.756700
9236 5373 0.085800
9236 1944 1.277900
9234 7673 0.233100
9234 6327 1.337300
9233 6752 -0.645200
9233 1837 -0.922000
9232 8586 1.999000
9231 969 0.157300
9230 6135 -0.606700
9230 5360 -0.503500
9230 1242 -0.556600
9229 5044 0.316100
9227 9605 -1.642700
9227 2791 -0.513200
9226 5737 0.130100
9224 1059 1.747400
9223 6451 -0.728500
9218 7082 0.487600
9218 6901 -1.386400
9216 7209 1.368000
9216 5307 -0.107200
9216 2285 -0.413300
9214 9213 1.140400
9213 5792 1.035300
9211 789 0.335000
9209 3480 0.482300
9208 8935 0.409500
9208 7912 -1.256800
9208 2189 0.357600
9207 5110 0.564700
9206 9881 0.342300
9206 7792 0.791200
9206 3474 0.292500
9206 1985 -1.705900
9205 633 1.870300
9204 8340 -0.576900
9203 7554 0.661300
9203 3800 -0.223700
9202 5576 -0.195400
9202 2429 0.404000
9198 2979 0.029300
9197 7019 -2.096000
9195 7674 0.577900
9193 8174 0.831000
9191 5626 -0.589500
9191 5524 -1.358700
9190 6128 1.880500
9190 1839 -0.828600
9190 1809 -0.935000
9189 9856 -1.924500
9189 6893 -0.295100
9186 1873 1.108900
9185 9805 0.019200
9185 4121 -0.181700
9185 1391 1.242100
9184 9139 0.882100
9184 1311 -0.771600
9184 759 -0.703300
9181 8341 -1.356100
9180 8309 -0.315900
9179 2811 1.429700
9179 2145 -0.550600
9178 700 1.301500
9177 8551 -1.925600
9177 1148 -0.456400
9176 1478 -0.092100
9175 2125 1.079200
9174 3222 -0.266900
9174 1306 0.020100
9171 3419 1.458600
9171 1889 1.315400
9170 6586 0.298000
9170 1236 0.793200
9167 3221 -1.320800
9165 1402 -0.267300
9161 6138 0.487400
9160 7242 0.477000
9157 7710 -0.066500
9157 2682 0.079900
9157 2538 1.295200
9156 2430 0.598300
9156 1072 -0.751900
9155 9079 1.456100
9155 3255 0.892700
9155 1669 -0.040900
9154 6869 -0.452600
9154 2448 1.125700
9153 5609 0.795100
9153 3673 -0.151600
9153 650 -0.139100
9151 5405 -1.351900
9147 9973 -0.417200
9144 7134 0.151100
9144 285 -0.670800
9143 8378 0.681600
9143 7630 0.164100
9142 9288 -0.559000
9141 3786 0.918500
9138 7922 -1.222900
9138 3524 0.088700
9137 8935 -0.110400
9137 2132 0.097700
9136 2053 -1.335300
9135 7696 -0.855800
9133 2517 0.318400
9132 4653 1.227700
9132 842 0.763400
9130 7844 0.548900
9130 6703 0.179700
9130 1733 0.075700
9129 7909 -2.802200
9129 4058 -0.496900
9127 9144 -1.054200
9127 5648 -0.445400
9126 8718 1.857000
9125 8497 -0.205900
9125 2183 -0.549000
9124 1476 -0.447000
9123 9367 -0.418900
9123 6614 -1.276300
9123 5709 -2.376600
9123 4996 0.257500
9122 7035 0.123000
9122 3683 -0.598700
9119 8800 0.272000
9118 2813 -1.120200
9116 8525 -1.905000
9116 8160 -1.374100
9115 9621 0.006100
9114 8071 -0.321600
9114 3944 0.492200
9113 8705 0.716700
9113 7546 -0.589400
9113 3474 0.776300
9109 7751 -1.783800
9109 904 -0.405300
9107 7816 0.986500
9106 1558 -0.369500
9105 5146 -1.812100
9105 343 -1.829800
9104 9861 2.394600
9104 6230 0.105400
9103 2970 1.293300
9100 5202 0.149100
9099 3858 -0.605300
9099 2833 0.484900
9098 567 -0.361400
9096 2177 -0.827200
9096 1752 0.735500
9092 8358 0.047200
9092 1231 -0.342100
9091 4259 -0.005100
9090 9322 -0.504500
9090 3169 -1.331400
9089 9246 1.196900
9087 9955 -0.179400
9087 5427 0.515300
9087 2018 0.780100
9084 8746 -0.253400
9084 3193 0.728800
9082 5674 3.046600
9081 9344 -0.113600
9080 149 -2.102500
9078 6281 -3.270000
9077 7342 0.041400
9076 9936 0.668700
9073 5039 0.732800
9071 4252 -1.037400
9071 1779 1.329300
9070 802 0.352900
9069 5402 -0.957600
9068 8064 0.304500
9068 5124 -0.770000
9068 1055 0.431400
9068 1036 0.236700
9067 983 2.075100
9066 9684 0.725300
9066 6821 0.772300
9065 6200 0.127000
9065 635 -1.108400
9063 8490 -0.254100
9063 5027 -0.201600
9062 7928 0.556600
9062 7415 1.584700
9061 4353 -0.753500
9059 6172 -0.844600
9058 5465 1.307900
9057 8132 -2.850000
9057 3662 0.093200
9056 7656 -1.280000
9053 6201 -0.015500
9053 3419 0.260500
9052 7524 0.278300
9052 6585 -0.199600
9051 2574 -0.195600
9050 7572 -0.862200
9049 9566 -0.346200
9048 7575 -0.572000
9048 6040 -0.416500
9048 3739 -0.243600
9048 940 0.658500
9047 5844 1.004200
9047 1397 -0.285000
9044 3663 -0.193800
9043 4125 -0.667100
9040 2899 -0.569200
9039 7696 0.529700
9039 560 1.213700
9038 5485 0.394600
9038 4958 -0.127700
9035 9258 -0.152800
9034 2924 -0.332500
9033 5405 0.794700
9032 9328 -1.498800
9030 6059 -0.906300
9030 3989 -0.545900
9028 902 -1.095700
9026 7393 1.029900
9026 3957 0.357600
9026 2088 -0.544800
9026 1692 0.434600
9025 1542 0.940700
9024 6619 -2.073200
9023 3152 -0.605900
9021 9814 0.253600
9020 2368 -1.015700
9017 8115 -0.928000
9017 3808 -1.883200
9016 7545 1.297600
9015 6632 0.024500
9011 6765 -1.451400
9008 7276 0.842300
9007 6292 0.124600
9003 7257 -1.266600
9002 5603 0.326500
9000 6527 -0.811100
9000 5389 -0.858000
9000 3968 -0.138800
9000 133 -0.513300
8999 2867 0.854700
8997 2863 -0.071900
8994 9025 -0.910000
8992 7520 0.002000
8992 609 -1.505400
8991 7154 0.953800
8991 1219 0.787200
8990 893 -0.211300
8989 2301 0.447700
8988 4626 -1.202000
8987 7471 0.327400
8987 7118 1.080900
8986 4302 0.927600
8985 7460 0.088900
8985 3082 0.101300
8984 8312 0.011900
8984 5030 0.030500
8983 2894 0.954600
8983 2876 -1.662900
8982 8663 -0.597900
8982 7023 1.067900
8981 8493 0.073200
8977 8681 0.130600
8977 5683 0.468900
8976 596 -1.446600
8975 4859 0.510900
8975 3944 -0.494000
8973 7995 0.214300
8972 9722 -2.114700
8971 6430 0.618800
8971 3719 0.235200
8971 3668 -0.506100
8971 1785 -1.791600
8970 9438 0.235000
8965 2454 -0.198600
8964 5642 0.051300
8964 255 -0.574900
8963 6371 -0.231900
8963 5397 2.597700
8962 9405 0.331400
8962 1501 0.765200
8961 1474 -0.174100
8960 7495 0.424400
8960 129 0.795800
8957 8444 -0.994300
8955 5631 -2.196200
8954 9150 -1.062100
8954 4771 -1.293000
8954 1288 0.809800
8950 3273 0.139900
8950 228 1.625500
8949 4847 0.423600
8949 3299 -0.362500
8949 2535 -1.363900
8949 2327 0.594300
8948 6247 0.929400
8947 7802 -1.013400
8947 5012 0.445300
8946 1097 0.709200
8945 7570 -0.793400
8943 2198 1.382200
8942 1439 -0.584100
8940 857 -0.043500
8939 3604 -0.215000
8939 977 0.259100
8938 807 -1.660700
8935 9351 -0.288900
8934 2704 -0.025700
8933 8709 0.474700
8932 4928 0.023600
8931 8137 -0.694400
8931 262 1.084400
8930 2393 -1.078200
8929 4665 -1.204400
8927 6534 -0.809400
8926 3315 1.556900
8925 1507 -1.676500
8924 192 0.515400
8920 8731 -0.887300
8919 5616 -0.303600
8918 7446 0.354200
8917 1363 -0.584300
8915 3321 0.234200
8915 1903 2.217400
8911 6627 -1.987800
8908 2756 -1.541500
8908 2006 0.889800
8907 6026 -0.720300
8905 4739 0.308500
8903 9753 1.323100
8901 7976 1.255700
8899 5817 -0.557600
8899 3572 0.830400
8898 1757 -0.263300
8897 2503 -0.823300
8897 1183 -0.288700
8895 6895 0.561400
8894 4350 -1.133700
8892 7284 -1.276900
8889 7080 -2.228800
8888 1336 -0.168400
8886 90 0.991900
8885 8941 -1.075600
8885 6802 -1.625300
8885 2255 0.371800
8881 931 -0.994000
8880 2778 0.762800
8877 9550 -0.240400
8877 8809 -1.559000
8876 9946 -0.586600
8876 9350 0.097700
8876 2730 0.540400
8876 2344 1.758000
8873 6606 -1.156300
8872 9830 0.349600
8872 4230 0.319400
8870 5911 1.197100
8867 4940 0.450400
8867 2263 -1.409500
8866 9627 0.779900
8866 5326 -0.298600
8866 5169 0.112600
8866 4245 -1.641300
8866 725 0.878200
8865 222 1.190100
8859 993 -1.760800
8858 8470 1.920100
8856 4500 -0.358600
8856 3869 -1.331100
8855 6274 -0.604100
8853 4094 -1.216000
8851 9164 -1.220600
8851 7408 0.687000
8851 826 1.108300
8850 5252 -0.784100
8850 324 -0.329200
8849 5258 0.378100
8847 2279 -0.636800
8845 9304 0.015600
8843 7947 1.731000
8842 3817 0.932600
8842 2906 0.304100
8842 1290 -0.698900
8841 6523 0.675900
8841 1281 -1.886400
8840 6707 0.909200
8840 754 0.413400
8838 9637 1.052300
8834 5231 -1.817800
8833 1584 0.872400
8832 6579 -3.304100
8832 2837 -1.668300
8831 2609 1.729500
8828 1352 0.088500
8827 9589 -0.381300
8827 7986 0.246200
8825 8373 0.151500
8825 7602 0.835200
8824 9862 -0.218000
8824 8828 0.394900
8823 4119 0.346500
8822 2462 0.282200
8822 568 0.162500
8820 8738 -0.654900
8819 4692 -0.560800
8818 4718 -0.765500
8818 3309 -1.911600
8814 4308 -0.839900
8811 7568 0.661400
8810 4033 -0.079700
8810 1874 0.040700
8807 5190 -2.175900
8807 3383 0.634900
8807 3055 -0.375000
8807 2655 -1.707900
8805 8846 0.861200
8805 8780 -0.192800
8805 3919 -0.663300
8805 1831 -1.899000
8804 9491 -0.290600
8804 699 -0.895000
8803 5176 -0.829500
8801 1816 0.826000
8801 1567 -1.252700
8801 317 0.581000
8800 7369 -0.265500
8798 6365 0.500100
8796 735 -0.910200
8795 2548 0.925400
8794 9191 -1.876400
8792 2335 1.525300
8790 734 -0.359500
8790 503 -4.071500
8789 8433 -0.825700
8789 3677 -1.326400
8789 3351 -0.392000
8788 6720 -1.347900
8787 8236 0.392100
8787 8215 0.391400
8786 2193 0.048400
8785 6510 0.850700
8785 3556 -0.130100
8785 935 0.246200
8783 6474 1.524600
8782 5522 -1.079000
8781 6287 0.269100
8779 9352 1.452800
8778 2078 0.247700
8777 7341 -0.181000
8776 9345 0.242600
8775 1844 -0.843500
8774 6350 -0.344500
8773 7447 -0.635300
8773 4355 -0.653100
8771 6370 0.507600
8771 1195 -0.938800
8768 5749 0.063900
8768 3489 -1.238000
8767 4636 -0.644600
8766 6313 0.684800
8766 6270 1.068100
